Idiom,Meaning,Example,Part_of_Speech
bucket of bolts,machine that  functions poorly or is in a state of disrepar.,This damned bucket of bolts  won't even start half the time.,n.
bucko,friend; buddy, ,n.
bud,"beer;, esp.  Budweiser beer", ,n.
buff,enthusiast;  fan; avid practitioner.,She's such a movie buff.,n.
buff,prepare a  patient and details of care so discharge or transfer to another service will go  smoothly.,Just buff the patient's chart and get him out of here already.,v.
bug juice,fruit drink  (not carbonated), ,n.
bug off,go away; get  out, ,v.
bug out,leave or depart  rapidly.,"Enemy's coming, time to bug out.",v.
bugger,damn;  darn; drat (used to express frustration or annoyance).,Bugger it. I can't  take this anymore.,exclam.
bugger,"contemplible,  unappealing person", ,n.
bugger,cause serious  trouble or harm to somebody, ,v.
bugger,have anal  intercourse with, ,v.
bugger about,behave  carelessly or dumbly.,Stop buggering about and get to work.,v.
bugger around,behave  carelessly or dumbly, ,v.
bugger it,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,Bugger it! I lost again.,idiom.
bugger off,go away; leave;  get out of here, ,v.
bugger off,imp. go away;  shove off.,Bugger off. Just go away.,v.
bugly,ugly (from  butt and ugly), ,adj.
built,muscular;  strong in appearance; curvaceous, ,adj.
built like a brick  shithouse,muscular;  strong in appearance; curvaceous (said of women), ,adj.
bull,nonsense (short  and less offensive form of bullshit).,That's complete bull. I don't believe  a word of it.,n.
bullshit,a strong  way to reject or challenge someone else's statement or claim.,Bullshit! That  can't be true.,exclam.
bullshit,nonsense;  rubbish; foolish talk or ideas.,"That's such bullshit, I don't believe any of  it.",n.
bullshit artist,an expect liar;  someone good at lying or exaggeration, ,n.
bullshitter,an expect liar;  someone good at lying or exaggeration, ,n.
bum (someone) out,discourage or  depress someone, ,v.
bum (something) off,ask or beg  something (usually small or minor), ,v.
bummed,depressed;  discouraged; dow, ,adj.
bummed out,depressed;  discouraged; down, ,adj.
bummer,unpleasant;  unappealing; disappointing, ,adj.
bummer,something or  someone unappealing or unpleasant.,"Major bummer, losing your job like that.",n.
bump,remove a  passenger with a confirmed reservation as a result of the flight being  overbooked.,I got bumped from my flight and am stuck here for two hours.,v.
bumpee,person who has  been removed from a commercial flight due to overbooking, ,n.
bun in the oven,pregnant.,"She's got another bun in the over, you  know.",idiom.
bunk,bunk bed, ,n.
buns,buttocks.,Nice buns on that chick. She must work out.,n.
burbs,suburbs.,You're living out in the burbs now?,n.
burger,hamburger.,"Gimme a burger, no fries.",n.
burger joint,place that  specializes in hamburgers, ,n.
burn,rob or cheat  someone (often used in the passive).,I got burned at the pawn shop when I  bought this thing.,v.
burn rubber,accelerate a  car so that the tires produce smoke and a squealing noise, ,v.
bushed,tired;  exhausted.,"It's been a long day, and I'm bushed.",adj.
bust,failure; poor  performance.,It's a bust. Complete failure.,n.
bust,"police raid (on  a criminal hideout, drug lab, etc.)", ,n.
bust (one's) ass,work very hard;  struggle.,I don't want to bust my ass here anymore.,v.
bust one's balls,work very hard;  make an extreme effort.,He busted his balls to get that paper done on time.,v.
butch,masculine in  appearance and behavior (usually used for lesbians), ,adj.
butt,a cigarette, ,n.
butt,buttocks  (shortened form), ,n.
butt,the filter/end  of a cigarette, ,n.
butt naked,completely nude, ,n.
butter bar,second  lieutenant (named for the appearance of the insignia in the U.S. Army) or the  rank insignia itself, ,n.
butthead,"obnoxious, dumb  person", ,n.
butthole,anus, ,n.
buy,approve;  accept; believe, ,v.
buy it,die.,He  bought it during night patrol.,v.
buy the farm,die.,He  bought the farm during that last raid.,v.
buzz,a telephone  call.,I'll give you a buzz later. What's your cell number?,n.
buzz,contact someone  using an intercom or similar device, ,v.
buzz,fly an aircraft  very low over an area.,The fighter jets buzzed the enemy camp.,v.
buzz-kill,a wet blanket;  someone or something that ends fun or good mood, ,n.
café noir,black coffee, ,n.
cake hole,mouth.,Shut  your cake hole or I'll smack you.,n.
cakewalk,"something  simple, easy, or straight-forward.","Total cakewalk, that test.",n.
calc,calculus (class  or subject in school).,My calc teacher makes it easier than I thought it'd  be.,n.
call,a predictio, ,n.
call (someone) out,challenge  someone to a fight or contest, ,v.
call shotgun,claim the seat  next to the driver in a car, ,v.
can,buttocks, ,n.
can,jail; prison, ,n.
can,toilet.,Gotta go to the ca,n.
can,fire; terminate  someone's employment.,He got canned for blogging too much at work.,v.
candy-ass,timid person;  coward, ,n.
candy-assed,coward(ly);  timid; frightened, ,adj.
cannon cocker,solider whose  specialty is artillery, ,n.
cap,kill; murder.,Shut up or I'll cap you.,v.
capish,understand  (usually as a question).,"This is what you gotta do, capish?",v.
carb,carburetor.,How many horses in this carb?,n.
card,"amusing,  strange perso", ,n.
card,check someone's  identification for age.,I got carded when I tried to buy beer.,v.
cash cow,good source of  income, ,n.
cat,guy; fellow;  dude (rarely used), ,n.
catch some rays,sunbathe; get a  ta, ,v.
catch some Z's,sleep; take a  nap, ,v.
catch you later,good-bye for  now; see you soon, ,v.
catshot,aircraft  takeoff from a carrier using a catapult, ,n.
CBNC,close but  not cigar, ,abbr.
chap,fellow; guy, ,n.
chaser,strong liquor  drunk quickly after a weak drink such as beer, ,n.
check that,ignore that;  cancel that (last remark or item), ,v.
cheeky,irreverent;  impudent, ,adj.
cheese,smile (when  asked with the word as someone takes a picture).,Say cheese for the camera.,v.
cheesed off,upset;  disgusted; angry, ,adj.
cheesehead,person from the  state of Wisconsin, ,n.
cheesehead,person who does  stupid things, ,n.
cheesy,tacky; cheap;  smarmy.,"What a cheesy sweater, it looks horrid.",adj.
chem,chemistry  (class or subject in school).,Chem was my worst science in high school.,n.
cherry,"hymen (by  extension, a female virgin)", ,n.
cherry,novice; newbie;  inexperienced person, ,n.
cherry,new recruit (in  the U.S. Army), ,n.
chew someone's ass  out,criticize or  scold someone, ,v.
chicken,coward.,"Don't be chicken, just give it a try.",n.
chicken,"game in which  two drivers drive toward each other head-on and the first driver to veer off is  the loser (hence chicken, as in coward)", ,n.
chicken out,avoid something  due to fear.,He chickened out at the last minute and didn't take the bet.,v.
chicken shit,fearful;  cowardly, ,adj.
chicken shit,almost nothing;  worthless, ,n.
chief,form of address  (to a friend or other familiar person; not often used).,"Hey, chief, what's  doing?",n.
chief,unofficial form  of address for any Warrant Officer (CW-2 to CW-5 in the U.S. Army), ,n.
chill,relax; calm dow, ,v.
chill out,relax; calm dow, ,v.
chink,Chinese;  Chinese person, ,n.
chintzy,shoddy;  cheap; stingy; miserly, ,adj.
chips and salsa,computer  hardware and software, ,n.
chivvy,repeatedly tell  somebody to do something, ,v.
chivy,repeatedly tell  somebody to do something, ,v.
chocoholic,person who  loves chocolate in any form, ,n.
choke,panic (usually  before an exam).,I totally choked on the calc test last week.,v.
chop shop,"place where  stolen cars are cut apart, the resulting parts sold individually", ,n.
chopper,motorcyle, ,n.
chotchke,small item;  trinket, ,n.
chow,good-bye (from Italian).,"I'm off now, chow.",idiom.
chow,food; meal, ,n.
chow,"food; meal;  breakfast, lunch, or dinner", ,n.
chow down,eat; consume  food and drink, ,v.
chown down,eat; have a  meal, ,v.
chrome dome,bald person  (usually male), ,n.
chubby,slightly  overweight; rotund, ,adj.
chuck,dump; reject;  break up with somebody, ,v.
chuck,throw away  something; discard.,"I never use this, so just chuck it.",v.
chugalug,drink quickly  without gulping, ,v.
chute,straighaway  portion of a racetrack, ,n.
ciao,good-bye (from Italian).,"I'm off now, ciao.",idiom.
circle the drain,be moribund; be  in the process of dying or failing, ,v.
circle-jerk,a group of men  masturbating together, ,n.
circling the drain,expected to  die shortly.,He's circling the drain and won't last much longer.,adj.
City of Brotherly  Love,Philadelphia, ,n.
civvies,civilian  clothing, ,n.
clamshell,luggage  container that is put on a car's roof (it opens like a clam does), ,n.
clap,gonorrhea, ,n.
class-A uniform,class-A dress  uniform, ,n.
class-A’s,class-A dress  uniform, ,n.
